customerid,tenure,monthlycharges,totalcharges,contract,paymentmethod,churn,gender,seniorcitizen,partner,dependents,internetservice,source
5600-KTXFM,2,69.95,143.9,Month-to-month,Mailed check,0,Male,0,Yes,Yes,Fiber optic,kaggle
3871-IKPYH,1,69.1,69.1,Month-to-month,Electronic check,1,Male,1,No,No,Fiber optic,kaggle
6319-IEJWJ,20,90.2,1776.55,Month-to-month,Electronic check,1,Male,0,Yes,Yes,Fiber optic,kaggle
9025-AOMKI,6,93.55,536.4,Month-to-month,Bank transfer (automatic),1,Female,0,No,No,Fiber optic,kaggle
6339-TBELP,71,86.4,6172.0,Two year,Credit card (automatic),0,Male,0,No,No,Fiber optic,kaggle
7964-YESJC,24,66.3,1559.45,Month-to-month,Mailed check,0,Female,0,Yes,No,DSL,kaggle
6173-GOLSU,67,94.65,6079.0,Month-to-month,Credit card (automatic),0,Male,1,Yes,No,Fiber optic,kaggle
5275-SQEIZ,1,80.85,80.85,Month-to-month,Mailed check,1,Male,0,No,No,Fiber optic,kaggle
7716-YTYHG,48,82.05,4029.95,One year,Mailed check,1,Female,0,Yes,Yes,Fiber optic,kaggle
9938-ZREHM,37,72.1,2658.4,One year,Mailed check,0,Female,0,Yes,No,DSL,kaggle
7950-XWOVN,11,34.7,383.55,Month-to-month,Mailed check,0,Male,0,No,No,DSL,kaggle
4390-KYULV,3,20.55,51.15,Month-to-month,Credit card (automatic),1,Male,0,Yes,No,No,kaggle
4647-MUZON,18,95.95,1745.5,Month-to-month,Credit card (automatic),0,Female,0,Yes,No,Fiber optic,kaggle
9702-AIUJO,50,44.8,2230.85,One year,Bank transfer (automatic),0,Male,0,Yes,Yes,DSL,kaggle
8849-PRIQJ,67,109.4,7281.6,One year,Electronic check,0,Female,0,Yes,Yes,Fiber optic,kaggle
8851-RAGOV,25,71.05,1837.7,Month-to-month,Mailed check,0,Female,0,Yes,No,DSL,kaggle
1304-NECVQ,2,78.55,149.55,Month-to-month,Electronic check,1,Female,1,No,No,Fiber optic,kaggle
5396-IZEPB,9,19.7,180.7,Month-to-month,Credit card (automatic),0,Male,0,No,No,No,kaggle
1729-VLAZJ,10,40.25,411.45,One year,Mailed check,0,Female,0,No,Yes,DSL,kaggle
8285-ABVLB,70,19.85,1328.35,Two year,Credit card (automatic),0,Female,0,Yes,No,No,kaggle
0701-TJSEF,9,68.25,576.95,Month-to-month,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
5712-VBOXD,4,20.15,68.45,Month-to-month,Credit card (automatic),0,Female,0,No,No,No,kaggle
6629-LADHQ,2,50.95,123.05,Month-to-month,Mailed check,0,Female,0,No,No,DSL,kaggle
8945-GRKHX,1,78.65,78.65,Month-to-month,Electronic check,1,Female,0,No,Yes,Fiber optic,kaggle
1559-DTODC,19,25.15,468.35,Month-to-month,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
4797-MIWUM,7,20.25,174.7,Month-to-month,Bank transfer (automatic),0,Male,0,Yes,Yes,No,kaggle
6959-UWKHF,1,42.9,42.9,Month-to-month,Electronic check,1,Male,0,No,No,DSL,kaggle
8720-RQSBJ,1,44.0,44.0,Month-to-month,Electronic check,0,Male,1,No,No,DSL,kaggle
4537-CIBHB,9,20.25,172.35,One year,Mailed check,0,Female,0,Yes,Yes,No,kaggle
3815-SLMEF,3,34.25,139.35,Month-to-month,Mailed check,1,Female,0,No,No,DSL,kaggle
5154-VEKBL,9,58.5,539.85,Month-to-month,Mailed check,1,Female,0,No,No,DSL,kaggle
4324-AHJKS,5,55.8,300.4,Month-to-month,Credit card (automatic),0,Female,0,No,No,DSL,kaggle
4355-CVPVS,56,88.9,4968.0,One year,Bank transfer (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
4495-LHSSK,18,57.65,992.7,Month-to-month,Mailed check,0,Female,0,No,Yes,DSL,kaggle
5655-JSMZM,49,96.2,4718.25,Month-to-month,Electronic check,1,Male,1,No,No,Fiber optic,kaggle
5915-ANOEI,70,79.15,5536.5,Two year,Mailed check,0,Male,0,Yes,No,DSL,kaggle
9861-PDSZP,72,108.05,7806.6,Two year,Credit card (automatic),0,Female,0,No,No,Fiber optic,kaggle
4505-EXZHB,6,74.4,434.1,Month-to-month,Electronic check,1,Female,1,No,No,Fiber optic,kaggle
7225-CBZPL,17,94.8,1563.9,Month-to-month,Electronic check,0,Male,1,Yes,No,Fiber optic,kaggle
6704-UTUKK,29,45.9,1332.4,Month-to-month,Electronic check,0,Male,0,Yes,No,DSL,kaggle
4587-VVTOX,6,105.3,545.2,Month-to-month,Electronic check,1,Female,0,Yes,No,Fiber optic,kaggle
2019-HDCZY,63,102.6,6296.75,Two year,Electronic check,0,Male,0,Yes,No,Fiber optic,kaggle
4652-NNHNY,16,73.85,1284.2,Month-to-month,Bank transfer (automatic),1,Male,0,Yes,No,Fiber optic,kaggle
8788-DOXSU,59,61.35,3645.5,One year,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
7404-JLKQG,3,57.55,161.45,Month-to-month,Electronic check,0,Female,0,No,No,DSL,kaggle
7421-ZLUPA,8,29.25,226.95,Month-to-month,Mailed check,0,Female,0,No,No,DSL,kaggle
8972-HJWNV,7,84.55,646.85,Month-to-month,Electronic check,1,Female,1,Yes,No,Fiber optic,kaggle
3274-NSDWE,68,19.6,1441.65,Two year,Credit card (automatic),0,Female,0,No,No,No,kaggle
2632-IVXVF,68,111.75,7511.3,Two year,Credit card (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
3692-JHONH,52,106.5,5621.85,One year,Electronic check,0,Female,1,Yes,No,Fiber optic,kaggle
8915-NNTRC,72,107.7,7919.8,Two year,Credit card (automatic),0,Male,0,Yes,Yes,Fiber optic,kaggle
5914-GXMDA,32,19.3,593.2,One year,Mailed check,0,Female,0,Yes,No,No,kaggle
7463-IFMQU,72,20.05,1423.65,Two year,Bank transfer (automatic),0,Female,0,Yes,No,No,kaggle
2920-RNCEZ,1,69.95,69.95,Month-to-month,Credit card (automatic),0,Male,0,Yes,Yes,Fiber optic,kaggle
2541-YGPKE,42,63.7,2763.35,One year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
8515-OCTJS,25,24.75,692.1,Two year,Credit card (automatic),1,Female,0,No,No,No,kaggle
5382-TEMLV,45,50.9,2298.55,Month-to-month,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
3441-CGZJH,43,60.4,2640.55,One year,Credit card (automatic),0,Female,0,Yes,Yes,DSL,kaggle
9592-ERDKV,37,79.25,2911.8,One year,Mailed check,0,Male,0,Yes,No,DSL,kaggle
2860-RANUS,20,85.8,1727.5,Month-to-month,Credit card (automatic),1,Female,1,No,No,Fiber optic,kaggle
5261-QSHQM,4,24.45,86.6,Month-to-month,Electronic check,1,Female,0,No,No,DSL,kaggle
4778-IZARL,63,110.1,6705.7,Two year,Credit card (automatic),0,Male,0,Yes,No,Fiber optic,kaggle
0432-CAJZV,3,90.7,237.65,Month-to-month,Mailed check,0,Male,0,No,No,Fiber optic,kaggle
7008-LZVOZ,66,25.3,1672.35,Two year,Credit card (automatic),0,Male,0,Yes,Yes,No,kaggle
8868-WOZGU,28,105.7,2979.5,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
1200-TUZHR,8,85.2,695.75,Month-to-month,Electronic check,0,Female,1,No,No,Fiber optic,kaggle
9365-CSLBQ,71,24.35,1654.6,Two year,Mailed check,0,Male,0,No,Yes,No,kaggle
1334-FJSVR,1,24.25,24.25,Month-to-month,Electronic check,1,Male,0,No,No,DSL,kaggle
5884-FBCTL,72,25.1,1857.85,Two year,Bank transfer (automatic),0,Female,0,Yes,Yes,No,kaggle
7130-CTCUS,16,54.55,825.1,Month-to-month,Bank transfer (automatic),0,Male,1,Yes,No,DSL,kaggle
6242-FEGFD,66,96.6,6424.25,Two year,Mailed check,0,Male,0,Yes,No,Fiber optic,kaggle
7625-XCQRH,11,76.5,837.95,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
6194-HBGQN,51,81.15,4126.2,One year,Credit card (automatic),0,Male,0,No,No,DSL,kaggle
7634-WSWDB,8,38.5,330.8,Month-to-month,Electronic check,0,Female,0,No,Yes,DSL,kaggle
6986-IXNDM,14,92.9,1337.45,Month-to-month,Electronic check,0,Male,0,No,No,Fiber optic,kaggle
1731-TVIUK,4,93.5,362.2,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
2987-BJXIK,70,84.7,5991.05,Two year,Mailed check,0,Female,0,No,No,DSL,kaggle
9769-TSBZE,70,66.0,4891.5,Two year,Electronic check,0,Female,0,No,Yes,DSL,kaggle
0406-BPDVR,54,101.5,5373.1,One year,Credit card (automatic),1,Female,1,Yes,No,Fiber optic,kaggle
0618-XWMSS,28,74.9,2068.55,Month-to-month,Bank transfer (automatic),1,Male,0,No,Yes,Fiber optic,kaggle
1395-WSWXR,24,20.75,487.05,Two year,Mailed check,0,Male,0,No,No,No,kaggle
6023-GSSXW,69,61.45,4131.2,Two year,Credit card (automatic),0,Female,0,Yes,No,DSL,kaggle
6752-APNJL,42,54.5,2301.15,Month-to-month,Mailed check,0,Male,0,Yes,Yes,DSL,kaggle
5276-KQWHG,2,69.6,131.65,Month-to-month,Electronic check,1,Female,1,No,No,Fiber optic,kaggle
0420-HLGXF,39,99.75,4036.0,Month-to-month,Electronic check,0,Female,1,No,No,Fiber optic,kaggle
7446-KQISO,45,109.75,4900.65,Two year,Bank transfer (automatic),0,Male,0,Yes,Yes,Fiber optic,kaggle
9823-EALYC,72,80.85,5727.45,Two year,Bank transfer (automatic),0,Male,0,Yes,Yes,DSL,kaggle
0582-AVCLN,38,20.3,743.05,Two year,Mailed check,0,Female,0,No,No,No,kaggle
5803-NQJZO,72,67.8,4804.65,Two year,Bank transfer (automatic),0,Male,0,Yes,No,DSL,kaggle
2565-JSLRY,1,24.05,24.05,Month-to-month,Mailed check,1,Male,0,No,No,No,kaggle
2607-DHDAK,72,19.8,1414.65,Two year,Credit card (automatic),0,Male,0,Yes,Yes,No,kaggle
1073-XXCZD,55,25.7,1443.65,Two year,Bank transfer (automatic),0,Male,0,Yes,No,No,kaggle
0743-HRVFF,51,56.15,2898.95,One year,Electronic check,0,Female,0,Yes,Yes,DSL,kaggle
4006-HKYHO,63,86.7,5309.5,Two year,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
3727-JEZTU,1,20.4,20.4,Month-to-month,Mailed check,0,Female,0,No,No,No,kaggle
8143-ETQTI,23,19.65,451.55,Two year,Mailed check,0,Female,0,Yes,Yes,No,kaggle
6689-KXGBO,1,50.55,50.55,Month-to-month,Electronic check,1,Female,0,No,No,DSL,kaggle
9667-TKTVZ,2,54.35,117.05,Month-to-month,Mailed check,0,Female,0,No,No,DSL,kaggle
3657-COGMW,52,108.1,5839.3,Month-to-month,Credit card (automatic),0,Female,1,No,No,Fiber optic,kaggle
8570-KLJYJ,36,54.45,1893.5,One year,Mailed check,0,Female,0,No,No,DSL,kaggle
7754-IXRMC,1,45.35,45.35,Month-to-month,Mailed check,0,Female,0,No,No,DSL,kaggle
9473-CBZOP,28,59.0,1654.45,One year,Mailed check,0,Female,0,No,No,DSL,kaggle
2969-WGHQO,7,69.45,477.05,One year,Electronic check,0,Female,0,Yes,Yes,DSL,kaggle
6615-NGGZJ,14,100.55,1415.55,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
4334-HOWRP,72,64.95,4546.0,Two year,Credit card (automatic),0,Male,1,Yes,No,DSL,kaggle
4255-DDUOU,1,20.5,20.5,Month-to-month,Mailed check,1,Female,0,Yes,Yes,No,kaggle
5863-OOKCL,10,18.85,163.2,Month-to-month,Mailed check,0,Female,0,No,No,No,kaggle
1686-STUHN,42,19.8,849.9,One year,Bank transfer (automatic),0,Male,0,No,No,No,kaggle
1329-VHWNP,7,25.05,189.95,Month-to-month,Bank transfer (automatic),0,Female,0,No,No,DSL,kaggle
2984-MIIZL,4,74.8,321.9,Month-to-month,Bank transfer (automatic),1,Male,0,No,No,Fiber optic,kaggle
0266-GMEAO,72,114.3,8058.55,Two year,Credit card (automatic),0,Male,0,Yes,Yes,Fiber optic,kaggle
5590-YRFJT,20,24.45,482.8,Month-to-month,Electronic check,1,Female,0,Yes,No,DSL,kaggle
5574-NXZIU,63,109.2,7049.75,Two year,Credit card (automatic),0,Male,0,No,No,Fiber optic,kaggle
0019-GFNTW,56,45.05,2560.1,Two year,Bank transfer (automatic),0,Female,0,No,No,DSL,kaggle
4256-ZWTZI,5,51.0,286.8,Month-to-month,Mailed check,0,Female,0,No,Yes,DSL,kaggle
8309-PPCED,72,110.45,7982.5,Two year,Bank transfer (automatic),0,Female,0,Yes,No,Fiber optic,kaggle
4098-NAUKP,68,84.65,5683.6,Month-to-month,Electronic check,0,Male,1,Yes,Yes,Fiber optic,kaggle
5196-WPYOW,67,60.05,3994.05,One year,Mailed check,0,Male,0,Yes,Yes,DSL,kaggle
4608-LCIMN,8,44.65,369.15,Month-to-month,Bank transfer (automatic),0,Male,0,Yes,Yes,DSL,kaggle
1485-YDHMM,52,93.25,4631.7,Month-to-month,Bank transfer (automatic),0,Male,0,Yes,Yes,Fiber optic,kaggle
4054-CUMIA,18,20.25,401.95,Month-to-month,Mailed check,0,Female,0,Yes,Yes,No,kaggle
0603-TPMIB,59,25.45,1534.05,Two year,Mailed check,0,Female,0,Yes,Yes,No,kaggle
2525-GVKQU,60,20.6,1093.0,Two year,Mailed check,0,Female,0,No,No,No,kaggle
8161-QYMTT,7,94.1,701.3,Month-to-month,Electronic check,0,Male,0,No,No,Fiber optic,kaggle
9581-GVBXT,59,34.8,1980.3,One year,Mailed check,0,Male,0,Yes,Yes,DSL,kaggle
5862-BRIXZ,46,60.75,2893.4,Two year,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
5404-GGUKR,5,51.35,262.3,Month-to-month,Electronic check,0,Male,0,No,No,DSL,kaggle
3308-JSGML,59,64.05,3886.85,Two year,Credit card (automatic),0,Male,1,Yes,No,DSL,kaggle
2126-GSEGL,70,84.8,5917.55,Two year,Bank transfer (automatic),0,Female,0,Yes,No,DSL,kaggle
3677-TNKIO,14,71.0,914.0,Month-to-month,Credit card (automatic),1,Female,0,No,No,Fiber optic,kaggle
0440-QEXBZ,44,50.15,2139.1,Month-to-month,Mailed check,0,Female,0,No,No,DSL,kaggle
2434-EEVDB,64,94.6,5948.7,Two year,Credit card (automatic),0,Female,0,Yes,No,Fiber optic,kaggle
6762-QVYJO,58,59.75,3624.35,Two year,Mailed check,0,Female,0,Yes,Yes,DSL,kaggle
6199-IWKGC,46,100.25,4753.85,One year,Electronic check,0,Female,1,Yes,No,Fiber optic,kaggle
2675-DHUTR,58,98.9,5780.7,Month-to-month,Electronic check,0,Male,1,Yes,No,Fiber optic,kaggle
8152-VETUR,72,97.7,6869.7,Two year,Credit card (automatic),0,Female,0,Yes,No,Fiber optic,kaggle
9667-EQRXU,30,40.3,1172.95,Month-to-month,Electronic check,1,Female,1,No,No,DSL,kaggle
7446-YPODE,11,60.25,662.95,Month-to-month,Bank transfer (automatic),0,Male,1,No,No,DSL,kaggle
9522-BNTHX,34,56.25,1765.95,Month-to-month,Electronic check,0,Female,1,No,No,DSL,kaggle
4676-WLUHT,54,46.2,2431.95,Two year,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
3329-WDIOK,3,50.6,155.35,Month-to-month,Electronic check,1,Female,0,No,No,DSL,kaggle
7980-MHFLQ,72,24.9,1859.2,Two year,Mailed check,0,Female,0,Yes,Yes,No,kaggle
2873-ZLIWT,40,84.85,3303.05,Month-to-month,Electronic check,1,Female,0,Yes,Yes,Fiber optic,kaggle
3415-TAILE,2,65.7,134.35,Month-to-month,Mailed check,1,Female,0,Yes,Yes,DSL,kaggle
0757-WCUUZ,54,63.35,3409.1,Two year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
1629-DQQVB,14,50.1,709.5,Month-to-month,Bank transfer (automatic),0,Female,0,No,No,DSL,kaggle
1915-IOFGU,1,70.5,70.5,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
3045-XETSH,10,94.85,953.45,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
0374-AACSZ,1,50.15,50.15,Month-to-month,Electronic check,0,Female,0,No,No,DSL,kaggle
7239-HZZCX,1,19.75,19.75,Month-to-month,Mailed check,1,Male,0,No,No,No,kaggle
4872-VXRIL,56,64.65,3665.55,One year,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
9140-CZQZZ,68,79.6,5515.8,Two year,Bank transfer (automatic),0,Female,0,Yes,No,DSL,kaggle
3423-HHXAO,14,19.5,272.0,One year,Mailed check,0,Female,0,Yes,Yes,No,kaggle
9938-TKDGL,68,99.55,6668.0,Two year,Electronic check,0,Male,0,Yes,Yes,Fiber optic,kaggle
0531-ZZJWQ,55,74.0,4052.4,Month-to-month,Electronic check,0,Male,1,Yes,No,Fiber optic,kaggle
6537-QLGEX,16,38.9,664.4,Month-to-month,Electronic check,0,Female,0,No,No,DSL,kaggle
2688-BHGOG,9,79.55,718.55,Month-to-month,Electronic check,0,Male,1,No,No,Fiber optic,kaggle
7683-CBDKJ,14,65.45,937.6,Month-to-month,Electronic check,1,Male,0,Yes,Yes,DSL,kaggle
0946-CLJTI,58,98.7,5812.6,Month-to-month,Electronic check,1,Male,1,Yes,No,Fiber optic,kaggle
3160-TYXLT,53,46.3,2546.85,Month-to-month,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
1325-USMEC,70,99.35,6944.5,Two year,Credit card (automatic),0,Male,0,Yes,No,Fiber optic,kaggle
0916-QOFDP,14,95.8,1346.3,Month-to-month,Electronic check,0,Female,1,Yes,Yes,Fiber optic,kaggle
0628-CNQRM,22,67.5,1544.05,One year,Bank transfer (automatic),1,Male,0,Yes,Yes,DSL,kaggle
5606-AMZBO,10,78.15,765.15,Month-to-month,Credit card (automatic),0,Female,0,Yes,No,Fiber optic,kaggle
6199-IPCAO,29,26.1,692.55,Two year,Mailed check,0,Female,0,Yes,Yes,No,kaggle
7665-TOALD,1,69.6,69.6,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
0112-QWPNC,49,84.35,4059.35,One year,Electronic check,1,Male,0,Yes,No,DSL,kaggle
0324-BRPCJ,68,100.2,6851.65,Month-to-month,Electronic check,1,Female,1,Yes,No,Fiber optic,kaggle
2777-PHDEI,1,78.05,78.05,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
5640-CAXOA,30,40.35,1187.05,One year,Credit card (automatic),0,Female,0,No,No,DSL,kaggle
2235-EZAIK,72,79.2,5401.9,Two year,Credit card (automatic),0,Female,0,Yes,No,DSL,kaggle
3847-BAERP,10,20.9,247.0,Month-to-month,Mailed check,0,Female,0,No,No,No,kaggle
1196-AMORA,7,73.6,520.0,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
4282-YMKNA,9,74.75,706.6,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
1453-RZFON,1,49.9,49.9,Month-to-month,Mailed check,0,Female,0,No,Yes,DSL,kaggle
8263-OKETD,20,68.9,1370.35,Month-to-month,Credit card (automatic),0,Female,0,No,No,DSL,kaggle
0670-KDOMA,1,20.25,20.25,Month-to-month,Mailed check,0,Female,0,No,No,No,kaggle
2476-YGEFM,29,76.0,2215.25,Month-to-month,Credit card (automatic),0,Female,0,No,No,Fiber optic,kaggle
8687-BAFGU,1,74.0,74.0,Month-to-month,Electronic check,0,Male,0,No,No,Fiber optic,kaggle
0641-EVBOJ,3,82.3,214.4,Month-to-month,Mailed check,0,Male,0,No,No,Fiber optic,kaggle
0829-XXPLX,20,89.4,1871.15,Month-to-month,Bank transfer (automatic),0,Female,0,No,No,Fiber optic,kaggle
9974-JFBHQ,64,99.15,6171.2,Month-to-month,Credit card (automatic),0,Male,0,No,Yes,Fiber optic,kaggle
5356-RHIPP,1,20.2,20.2,Month-to-month,Mailed check,1,Male,0,No,No,No,kaggle
6624-JDRDS,6,29.45,161.45,Month-to-month,Bank transfer (automatic),0,Female,0,No,No,DSL,kaggle
0608-JDVEC,50,19.8,1013.2,Two year,Electronic check,0,Male,0,Yes,No,No,kaggle
9780-FKVVF,6,59.15,336.7,Month-to-month,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
1919-RTPQD,7,44.75,333.65,Month-to-month,Electronic check,0,Male,0,Yes,Yes,DSL,kaggle
5214-NLTIT,72,90.8,6511.8,Two year,Credit card (automatic),0,Male,0,Yes,Yes,Fiber optic,kaggle
3345-PBBFH,8,49.55,393.45,Month-to-month,Bank transfer (automatic),0,Male,0,Yes,No,DSL,kaggle
5055-BRMNE,67,106.7,7009.5,Two year,Credit card (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
9189-JWSHV,24,93.55,2264.05,Month-to-month,Electronic check,1,Female,1,Yes,No,Fiber optic,kaggle
2190-PHBHR,72,94.45,6921.7,Two year,Credit card (automatic),0,Female,0,Yes,No,Fiber optic,kaggle
2650-GYRYL,33,19.45,600.25,One year,Bank transfer (automatic),0,Male,0,Yes,Yes,No,kaggle
0746-JTRFU,2,25.05,56.35,Month-to-month,Electronic check,1,Male,0,No,No,DSL,kaggle
5208-FVQKB,70,67.95,4664.15,Two year,Mailed check,0,Male,0,Yes,No,DSL,kaggle
7184-LRUUR,22,65.25,1441.8,One year,Bank transfer (automatic),0,Female,0,No,No,DSL,kaggle
6627-CFOSN,59,99.45,5623.7,Month-to-month,Bank transfer (automatic),0,Female,0,No,No,Fiber optic,kaggle
3982-JGSFD,36,20.35,695.85,One year,Credit card (automatic),0,Male,0,No,No,No,kaggle
1574-DYCWE,51,19.95,1028.75,Two year,Mailed check,0,Female,0,Yes,Yes,No,kaggle
7247-XOZPB,53,77.4,4155.95,One year,Bank transfer (automatic),0,Male,0,Yes,No,DSL,kaggle
2466-FCCPT,20,19.7,395.6,One year,Bank transfer (automatic),0,Female,0,Yes,Yes,No,kaggle
6211-WWLTF,63,99.7,6330.4,Two year,Credit card (automatic),0,Male,0,Yes,No,Fiber optic,kaggle
4826-TZEVA,40,74.8,2971.7,Month-to-month,Credit card (automatic),0,Female,0,No,No,Fiber optic,kaggle
6016-NXBNJ,35,19.15,638.0,One year,Mailed check,0,Male,0,No,No,No,kaggle
9138-EFSMO,26,78.95,2034.25,One year,Bank transfer (automatic),0,Male,0,Yes,Yes,Fiber optic,kaggle
0576-WNXXC,27,95.55,2510.2,Month-to-month,Electronic check,1,Male,1,Yes,No,Fiber optic,kaggle
4632-XJMEX,53,62.85,3419.5,One year,Credit card (automatic),0,Male,0,No,Yes,DSL,kaggle
8910-LEDAG,34,71.55,2427.35,Month-to-month,Credit card (automatic),0,Male,1,Yes,No,Fiber optic,kaggle
3452-GWUIN,19,94.95,1760.25,Month-to-month,Electronic check,0,Female,1,Yes,No,Fiber optic,kaggle
2716-GFZOR,43,86.1,3551.65,Month-to-month,Credit card (automatic),0,Male,0,Yes,No,Fiber optic,kaggle
3724-UCSHY,6,19.55,122.9,Month-to-month,Mailed check,0,Male,0,Yes,Yes,No,kaggle
8626-XHBIE,56,24.8,1424.2,Two year,Mailed check,0,Male,0,No,Yes,No,kaggle
4628-CTTLA,57,39.3,2111.45,Month-to-month,Electronic check,1,Male,0,No,No,DSL,kaggle
3192-LNKRK,34,84.05,2909.95,Month-to-month,Mailed check,0,Male,0,Yes,Yes,Fiber optic,kaggle
4439-YRNVD,10,36.25,374.0,Month-to-month,Electronic check,0,Female,0,No,No,DSL,kaggle
2876-VBBBL,1,20.25,20.25,Month-to-month,Mailed check,1,Female,0,No,No,No,kaggle
6834-NXDCA,13,23.9,300.8,Month-to-month,Electronic check,1,Female,0,No,No,DSL,kaggle
2208-UGTGR,56,98.6,5581.05,Month-to-month,Electronic check,0,Male,0,No,No,Fiber optic,kaggle
3005-TYFRD,55,103.65,5676.65,Month-to-month,Credit card (automatic),0,Female,0,Yes,No,Fiber optic,kaggle
8670-MEFCP,36,92.9,3379.25,Two year,Credit card (automatic),0,Female,0,Yes,Yes,DSL,kaggle
3079-BCHLN,47,19.9,942.95,One year,Bank transfer (automatic),0,Male,0,Yes,No,No,kaggle
7777-UNYHB,12,20.1,232.4,Month-to-month,Credit card (automatic),0,Female,0,Yes,Yes,No,kaggle
5597-GLBUC,1,85.45,85.45,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
7278-CKDNC,24,80.5,2088.45,Month-to-month,Electronic check,0,Male,1,No,No,Fiber optic,kaggle
2748-MYRVK,63,99.9,6137.0,One year,Bank transfer (automatic),1,Female,0,No,No,Fiber optic,kaggle
8450-UYIBU,35,39.85,1434.6,Month-to-month,Electronic check,0,Female,1,No,No,DSL,kaggle
2969-VAPYH,67,60.5,3870.0,One year,Credit card (automatic),0,Female,0,No,No,DSL,kaggle
4822-YCXMX,25,84.8,2043.45,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
7181-OQCUT,21,103.85,2215.0,Month-to-month,Mailed check,0,Male,0,No,No,Fiber optic,kaggle
8474-UMLNT,13,67.8,842.25,Month-to-month,Bank transfer (automatic),0,Female,0,No,No,DSL,kaggle
9821-POOTN,35,75.2,2576.2,Month-to-month,Electronic check,1,Male,0,Yes,No,Fiber optic,kaggle
3836-FZSDJ,71,24.85,1901.0,Two year,Bank transfer (automatic),0,Male,1,Yes,No,No,kaggle
9142-XMYJH,29,19.35,601.6,Month-to-month,Credit card (automatic),0,Female,0,No,No,No,kaggle
6559-ILWKJ,71,49.35,3515.25,Two year,Electronic check,1,Male,0,Yes,No,DSL,kaggle
0187-QSXOE,7,89.0,605.45,Month-to-month,Electronic check,0,Male,1,Yes,No,Fiber optic,kaggle
7733-UDMTP,57,55.0,3094.05,Month-to-month,Electronic check,0,Female,1,No,No,DSL,kaggle
2649-HWLYB,65,76.15,4929.55,Two year,Bank transfer (automatic),0,Male,0,Yes,No,DSL,kaggle
5214-CHIWJ,27,20.3,595.05,One year,Mailed check,0,Male,0,No,No,No,kaggle
4229-CZMLL,6,74.9,469.8,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
6904-JLBGY,72,117.35,8436.25,Two year,Credit card (automatic),0,Female,1,No,No,Fiber optic,kaggle
2465-BLLEU,1,19.75,19.75,Month-to-month,Mailed check,0,Male,0,No,No,No,kaggle
1685-VAYJF,11,45.2,492.0,Month-to-month,Credit card (automatic),0,Male,0,No,No,DSL,kaggle
8874-EJNSR,39,25.2,987.95,Two year,Mailed check,0,Male,0,Yes,Yes,No,kaggle
6917-YACBP,59,89.75,5496.9,Month-to-month,Electronic check,0,Female,1,No,No,Fiber optic,kaggle
5049-MUBWG,26,75.0,1908.35,One year,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
4223-WOZCM,2,49.95,107.1,Month-to-month,Mailed check,0,Male,1,No,No,DSL,kaggle
0769-MURVM,72,65.7,4575.35,Two year,Bank transfer (automatic),0,Female,0,Yes,Yes,DSL,kaggle
9253-VIFJQ,65,67.05,4309.55,One year,Credit card (automatic),0,Male,0,Yes,No,DSL,kaggle
7030-FZTFM,72,110.9,7922.75,Two year,Credit card (automatic),0,Male,0,Yes,Yes,Fiber optic,kaggle
9741-YLNTD,6,87.95,522.35,Month-to-month,Bank transfer (automatic),0,Male,0,No,No,Fiber optic,kaggle
5917-RYRMG,32,19.8,587.7,One year,Credit card (automatic),0,Male,1,No,No,No,kaggle
5120-ZBLAI,50,75.7,3876.2,One year,Bank transfer (automatic),0,Female,0,Yes,No,DSL,kaggle
